06.26020, -75.57874, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2602038686<br>Coord_X: -75.578737913636246
06.26016, -75.57875, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2601584593<br>Coord_X: -75.578747678850647
06.26007, -75.57877, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2600717450<br>Coord_X: -75.578774642170828
06.26002, -75.57879, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2600205481<br>Coord_X: -75.578788513726550
06.25998, -75.57880, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2599784439<br>Coord_X: -75.578796639226809
06.25994, -75.57881, Especie: Roystonea regia<br>Hábito: Palma<br>Coord_Y: 6.2599363138<br>Coord_X: -75.578813834971712
06.25988, -75.57885, Especie: Cupania americana<br>Hábito: Árbol<br>Coord_Y: 6.2598842258<br>Coord_X: -75.578850792060635
06.25989, -75.57890, Especie: Mangifera indica<br>Hábito: Árbol<br>Coord_Y: 6.2598882099<br>Coord_X: -75.578900277901468
06.25982, -75.57888, Especie: Ormosia macrophylla<br>Hábito: Árbol<br>Coord_Y: 6.2598247212<br>Coord_X: -75.578884429664001
06.25978, -75.57892, Especie: Schefflera actinophylla<br>Hábito: Árbol<br>Coord_Y: 6.2597825416<br>Coord_X: -75.578918941315777
06.25974, -75.57903, Especie: Pseudobombax septenatum<br>Hábito: Árbol<br>Coord_Y: 6.2597393105<br>Coord_X: -75.579032609072485
06.25978, -75.57909, Especie: Annona purpurea<br>Hábito: Árbol<br>Coord_Y: 6.2597770981<br>Coord_X: -75.579091261766692
06.25984, -75.57911, Especie: Acacia auriculiformis<br>Hábito: Árbol<br>Coord_Y: 6.2598422181<br>Coord_X: -75.579113711278438
06.25992, -75.57909, Especie: Spathodea campanulata<br>Hábito: Árbol<br>Coord_Y: 6.2599181824<br>Coord_X: -75.579094963057855
06.26028, -75.57862, Especie: Syzygium malaccense<br>Hábito: Árbol<br>Coord_Y: 6.2602801253<br>Coord_X: -75.578616918884350
06.26017, -75.57865, Especie: Syzygium malaccense<br>Hábito: Árbol<br>Coord_Y: 6.2601678067<br>Coord_X: -75.578652879434628
