x;y;species;natural;denotation;age;family;genus;leaf_type;health;object:city;relation:site
-75,57727881;6,26225666;Calliandra sp.;tree;university; ;Fabaceae;Calliandra; ;0;Medellin;Volador
-75,57724782;6,26233398;Jatropha integerrima;tree;university;mature;Euphorbiaceae;Jatropha; ; ;Medellin;Volador
-75,57717987;6,2622775;Calliandra sp.;tree;university;mature;Fabaceae;Calliandra; ; ;Medellin;Volador
-75,57723362;6,26234081;jatropha integerrima;tree;university;mature;Euphorbiaceae;Jatropha; ; ;Medellin;Volador
-75,57525241;6,26303587;Inga edulis;tree;university;mature;Fabaceae;Inga; ; ;Medellin;Volador
-75,57525248;6,26310825;Inga edulis;tree;university;mature;Fabaceae;Inga; ; ;Medellin;Volador
-75,57558262;6,26253455;Andira inermis;tree;university;young;Fabaceae;Andira; ; ;Medellin;Volador
-75,57948288;6,26230353;Samanea saman;tree;university;young;Fabaceae;Samanea; ; ;Medellin;Volador
-75,57522195;6,26357785;Malpighia glabra;tree;university;mature;Malpighiaceae;Malpighia; ; ;Medellin;Volador
-75,57527796;6,26360232;Cecropia sp.;tree;university;mature;Urticaceae;Cecropia; ; ;Medellin;Volador
-75,57522687;6,26352084;Syagrus romanzoffiana;tree;university;mature;Arecaceae;Syagrus;palm; ;Medellin;Volador
-75,57526637;6,26351996;Syagrus romanzoffiana;tree;university;young;Arecaceae;Syagrus;palm; ;Medellin;Volador
-75,57522616;6,26343491;Veitchia merrillii;tree;university;young;Arecaceae;Adonidia;palm; ;Medellin;Volador
-75,5752268;6,2634754;Syagrus romanzoffiana;tree;university;young;Arecaceae;Syagrus;palm; ;Medellin;Volador
-75,57523799;6,26318467;Inga edulis;tree;university;mature;Fabaceae;Inga; ; ;Medellin;Volador
-75,57524304;6,26322421;Syagrus romanzoffiana;tree;university;young;Arecaceae;Syagrus;palm; ;Medellin;Volador
-75,57869236;6,26271501;Pouteria sp.;tree;university;young;Sapotaceae;Pouteria; ; ;Medellin;Volador
-75,57767814;6,26293143;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57867677;6,26261143;Jacaranda mimosifolia;tree;university;young;Bignoniaceae;Jacaranda; ; ;Medellin;Volador
-75,57766618;6,26299182;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57764874;6,26295794;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57764952;6,26300973;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57767115;6,26301235;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57946788;6,26211561;Vitex sp.;tree;university;young;Lamiaceae;Vitex; ; ;Medellin;Volador
-75,57931356;6,26222655;Dracaena fragans;tree;university;mature;Asparagaceae;Dracaena;palm; ;Medellin;Volador
-75,5794342;6,26235078;Samanea saman;tree;university;young;Fabaceae;Samanea; ; ;Medellin;Volador
-75,57872527;6,26286294;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57924376;6,26206765;Dracaena fragans;tree;university;mature;Asparagaceae;Dracaena;palm; ;Medellin;Volador
-75,5764775;6,26553865;Pithecellobium dulce;tree;university;mature;Fabaceae;Pithecellobium; ; ;Medellin;Volador
-75,57664147;6,26481155;Socratea exorrhiza;tree;university;mature;Arecaceae;Socratea;palm; ;Medellin;Volador
-75,576445;6,26561578;Citrus sp.;tree;university;mature;Rutaceae;Citrus; ; ;Medellin;Volador
-75,57766268;6,26304125;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57762354;6,26301917;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57760056;6,26289801;Piper sp.;tree;university;mature;Piperaceae;Piper; ; ;Medellin;Volador
-75,57758343;6,26291521;Theobroma cacao;tree;university;mature;Malvaceae;Theobroma; ; ;Medellin;Volador
-75,57800802;6,2628267;Cupressus lusitanica;tree;university;new planting;Cupressaceae;Cupressus; ; ;Medellin;Volador
-75,5778987;6,26287497;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57779867;6,26267606;Tabebuia rosea;tree;university;young;Bignoniaceae;Tabebuia; ; ;Medellin;Volador
-75,57659774;6,26493775;Socratea exorrhiza;tree;university;mature;Arecaceae;Socratea;palm; ;Medellin;Volador
-75,57791753;6,2605941;Spathodea campanulata;tree;university;young;Bignoniaceae;Spathodea; ; ;Medellin;Volador
-75,57665827;6,26478438;Aiphanes simplex;tree;university;mature;Arecaceae;Aiphanes;palm; ;Medellin;Volador
-75,57780882;6,26466738;Sapindus saponaria;tree;university;mature;Sapindaceae;Sapindus; ; ;Medellin;Volador
-75,57786272;6,26059363;Spathodea campanulata;tree;university;young;Bignoniaceae;Spathodea; ; ;Medellin;Volador
-75,57640928;6,26565903;Erythrina edulis;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57641771;6,26563541;Erythrina edulis;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57636963;6,26565229;Caesalpinia ebano;tree;university;mature;Fabaceae;Libidibia; ; ;Medellin;Volador
-75,5763671;6,26567422;Cedrela odorata;tree;university;mature;Meliaceae;Cedrela; ; ;Medellin;Volador
-75,57730602;6,26495722;Mangifera indica;tree;university;mature;Anacardiaceae;Mangifera; ; ;Medellin;Volador
-75,57737195;6,26494244;Mangifera indica;tree;university;mature;Anacardiaceae;Mangifera; ; ;Medellin;Volador
-75,57711014;6,26544877;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57710911;6,2654139;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57709847;6,26550915;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57710629;6,26528855;Dypsis lutescens;tree;university;mature;Arecaceae;Dypsis;palm; ;Medellin;Volador
-75,57708031;6,26553577;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57720557;6,26494087;Tecoma stans;tree;university;young;Bignoniaceae;Tecoma; ; ;Medellin;Volador
-75,57719112;6,26501722;Inga sp.;tree;university;young;Fabaceae;Inga; ; ;Medellin;Volador
-75,57719208;6,26378538;Leucaena leucocephala;tree;university;young;Fabaceae;Leucaena; ; ;Medellin;Volador
